user_id,vege_id,score
0,0,36.452405752
0,1,66.02882131800001
0,2,40.751123362
0,3,49.455554499
0,4,34.58473995200001
0,5,43.749841544000006
0,6,46.019860014
0,7,46.694246595
0,8,34.444036631
0,9,41.921463629
0,10,44.519301686
0,11,33.493977766
0,12,35.838912857
0,13,28.885885871
0,14,29.872189351000003
0,15,32.14695793
0,16,37.882181088
0,17,40.147286471
0,18,60.26812194199999
0,19,32.663957077
0,20,44.169131919
0,21,29.52199949
0,22,34.132069093000005
0,23,60.932230803
1,0,42.889842587
1,1,69.23900135599999
1,2,45.569995401
1,3,58.054731478
1,4,46.32842450100001
1,5,51.539596703
1,6,49.212127453
1,7,52.374422601
1,8,42.622315785
1,9,45.506183902
1,10,59.38778127100001
1,11,41.805654611
1,12,42.876033333
1,13,36.342078201
1,14,38.54691007700001
1,15,39.917020396
1,16,54.704673992
1,17,47.572040783
1,18,73.868430338
1,19,40.16977371200001
1,20,48.281518436
1,21,36.729062477
1,22,45.71344723399999
1,23,80.918040278
2,0,41.499399154
2,1,67.529012808
2,2,44.908332007
2,3,57.689082756000005
2,4,44.259683995
2,5,48.405031099000006
2,6,48.530015955
2,7,51.344960156
2,8,40.849773746
2,9,43.820068782
2,10,52.99769331700001
2,11,38.549337166
2,12,41.149923333
2,13,33.971695323
2,14,35.52919425700001
2,15,38.965848373
2,16,43.905960788
2,17,46.022854503
2,18,66.060075595
2,19,37.156729845
2,20,49.581697090000006
2,21,34.386611014
2,22,39.290621524
2,23,79.82003990999999
3,0,44.91234364
3,1,71.89581117
3,2,48.635342308
3,3,59.249631681
3,4,53.173004524
3,5,50.211385487
3,6,52.001111032
3,7,55.487832696
3,8,44.65828864299999
3,9,48.090898935000006
3,10,56.87934753700001
3,11,43.985313865
3,12,44.331062501
3,13,38.626398312
3,14,41.044767154
3,15,43.395165967
3,16,57.010772311
3,17,48.242727053
3,18,75.80798517700002
3,19,41.111232501
3,20,52.86085574900001
3,21,38.977335197
3,22,42.639106328
3,23,83.83476662
4,0,26.609622353
4,1,49.194819139
4,2,28.806420586
4,3,37.442766337
4,4,22.96510689
4,5,31.925030838000005
4,6,32.29758835
4,7,32.615899911
4,8,24.409153496
4,9,29.720446455
4,10,28.073989269
4,11,25.604132031
4,12,25.994292307
4,13,19.202328145000003
4,14,21.130617344
4,15,23.645402332
4,16,27.175357101
4,17,30.114975681
4,18,44.331986042
4,19,23.776787449000004
4,20,31.567166351
4,21,20.51801292
4,22,24.666474285
4,23,39.255725412
5,0,33.047059188
5,1,52.404999177
5,2,33.625292625
5,3,46.041943316
5,4,34.708791438999995
5,5,39.714785997
5,6,35.489855789
5,7,38.296075917
5,8,32.58743265
5,9,33.305166728
5,10,42.942468854
5,11,33.915808876
5,12,33.031412783
5,13,26.658520475000003
5,14,29.80533807
5,15,31.415464798
5,16,43.997850005
5,17,37.539729993
5,18,57.932294438
5,19,31.28260408400001
5,20,35.679552867999995
5,21,27.725075907
5,22,36.247852426
5,23,59.241534887
6,0,31.656615755
6,1,50.695010629
6,2,32.963629231
6,3,45.676294594
6,4,32.640050933000005
6,5,36.580220393000005
6,6,34.807744291
6,7,37.266613472
6,8,30.814890611000003
6,9,31.619051608
6,10,36.5523809
6,11,30.659491431
6,12,31.305302783
6,13,24.288137597
6,14,26.78762225
6,15,30.464292775
6,16,33.199136800999995
6,17,35.990543713
6,18,50.12393969499999
6,19,28.269560217
6,20,36.979731522
6,21,25.382624444
6,22,29.825026716
6,23,58.143534519
7,0,35.069560241
7,1,55.061808991
7,2,36.690639532
7,3,47.236843519
7,4,41.55337146200001
7,5,38.386574781
7,6,38.278839368
7,7,41.409486012
7,8,34.623405508
7,9,35.889881761000005
7,10,40.43403512
7,11,36.09546813
7,12,34.486441951
7,13,28.942840586000003
7,14,32.303195147000004
7,15,34.893610369
7,16,46.303948324
7,17,38.210416263
7,18,59.87184927700001
7,19,32.224062873
7,20,40.258890181
7,21,29.973348626999996
7,22,33.17351152
7,23,62.158261229
8,0,22.901689124
8,1,48.15979842899999
8,2,28.179936969
8,3,33.791191029000004
8,4,21.27437314
8,5,27.362176450000003
8,6,31.394741405
8,7,32.037479481999995
8,8,23.277534046000003
8,9,28.613330964
8,10,23.993235477
8,11,22.100396597000003
8,12,21.922872178
8,13,17.794817732
8,14,19.082662641
8,15,20.899370307
8,16,26.031721854
8,17,27.968429526
8,18,45.182264529
8,19,20.340491075000003
8,20,32.45467314
8,21,19.074455116
8,22,21.34568084
8,23,36.689703074
9,0,29.339125959
9,1,51.369978467
9,2,32.998809008
9,3,42.390368008
9,4,33.018057688999995
9,5,35.151931609
9,6,34.587008844
9,7,37.717655488
9,8,31.4558132
9,9,32.198051237
9,10,38.861715062
9,11,30.412073442
9,12,28.959992654
9,13,25.251010062
9,14,27.757383367000003
9,15,28.669432773
9,16,42.854214758
9,17,35.393183838
9,18,58.782572925
9,19,27.846307710000005
9,20,36.567059657
9,21,26.281518103
9,22,32.927058981
9,23,56.675512549
10,0,27.948682526
10,1,49.65998991899999
10,2,32.337145614
10,3,42.024719286
10,4,30.949317183
10,5,32.01736600500001
10,6,33.904897346
10,7,36.688193043
10,8,29.683271161000004
10,9,30.511936117000005
10,10,32.471627108
10,11,27.155755997
10,12,27.233882654
10,13,22.880627184
10,14,24.739667547000003
10,15,27.71826075
10,16,32.055501554
10,17,33.843997558
10,18,50.974218182
10,19,24.833263843
10,20,37.867238311
10,21,23.93906664
10,22,26.504233271
10,23,55.577512181
11,0,31.361627012
11,1,54.026788281
11,2,36.064155915
11,3,43.585268211000006
11,4,39.86263771200001
11,5,33.823720393
11,6,37.37599242300001
11,7,40.831065583
11,8,33.491786058
11,9,34.78276627
11,10,36.353281328
11,11,32.591732696
11,12,30.415021821999996
11,13,27.535330173
11,14,30.255240444
11,15,32.147578344
11,16,45.160313077
11,17,36.063870108
11,18,60.72212776400001
11,19,28.787766499
11,20,41.14639697
11,21,28.529790822999995
11,22,29.852718074999995
11,23,59.592238891
12,0,36.452405752
12,1,66.02882131800001
12,2,40.751123362
12,3,49.455554499
12,4,34.58473995200001
12,5,43.749841544000006
12,6,46.019860014
12,7,46.694246595
12,8,34.444036631
12,9,41.921463629
12,10,44.519301686
12,11,33.493977766
12,12,35.838912857
12,13,28.885885871
12,14,29.872189351000003
12,15,32.14695793
12,16,37.882181088
12,17,40.147286471
12,18,60.26812194199999
12,19,32.663957077
12,20,44.169131919
12,21,29.52199949
12,22,34.132069093000005
12,23,60.932230803
13,0,42.889842587
13,1,69.23900135599999
13,2,45.569995401
13,3,58.054731478
