,qna_blood1,qna_blood2,qna_blood3,qna_familydisease4,qna_digest1,qna_digest2,qna_diet4,qna_digest3,qna_digest4,qna_familydisease1,qna_skin1,qna_skin2,qna_skin3,qna_immune2,qna_skin4,qna_eye1,qna_eye3,qna_etc2,qna_eye2,qna_stemina2,qna_workout3,qna_afterworkout4,qna_etc4,qna_etc1,qna_eye4,qna_brain1,qna_brain2,qna_brain3,qna_brain4,qna_stemina1,qna_stemina3,qna_sleep2,qna_sleep3,qna_bone1,qna_bone2,qna_bone3,qna_familydisease3,qna_immune1,qna_hair3,qna_stress2,qna_stress3,qna_immune3,qna_hair1,qna_hair2,qna_diet1,qna_diet2,qna_symptom1,qna_workout1,qna_workout2,qna_afterworkout1,qna_afterworkout2,qna_afterworkout3,qna_outdoor2,qna_outdoor3,qna_etc3,qna_familydisease2,qna_femaledisease1,qna_femaledisease3,qna_femaledisease2
양파,1.153900667,2.174421987,2.174421987,2.174421987,0.375106353,-0.158019005,-0.158019005,-1.470017994,0.034127794,0.034127794,1.371130533,0.722454945,1.901932024,1.901932024,0.259333194,0.34101787,0.34101787,0.34101787,2.015612232,2.015612232,2.015612232,2.015612232,2.015612232,2.015612232,0.259333194,3.237641492,-0.766855571,0.641559473,2.48225081,-0.039138672,1.14037111,1.14037111,1.14037111,1.117821724,1.117821724,1.117821724,1.117821724,0.616962113,0.616962113,0.616962113,0.616962113,0.799988686,1.494214817,1.494214817,-0.439047007,0.607716774,1.1121233,0.493432004,0.493432004,0.30988907,0.30988907,0.30988907,0,0,-0.051302115,1.695915675,1.284640369,0.645239419,0.491943615
오이,1.191182654,2.118164928,2.118164928,2.118164928,0.253434398,-0.311807653,-0.311807653,-1.492867515,0.110502686,0.110502686,1.340623587,0.652503646,1.836274826,1.836274826,0.246108245,0.448766428,0.448766428,0.448766428,1.966186102,1.966186102,1.966186102,1.966186102,1.966186102,1.966186102,0.246108245,3.209697266,-0.752624588,0.639386331,2.405319371,-0.120065921,1.149792801,1.149792801,1.149792801,1.327588006,1.327588006,1.327588006,1.327588006,0.574838333,0.574838333,0.574838333,0.574838333,0.63183869,1.496704439,1.496704439,-0.211140101,0.476597083,1.109095491,0.4970471,0.4970471,0.330361097,0.330361097,0.330361097,0,0,-0.041365404,1.497360129,1.201946411,0.758712853,0.469270931
청경채,1.09113662,2.739366201,2.739366201,2.739366201,0.222697348,-0.206893494,-0.206893494,-1.237044581,0.217230299,0.217230299,2.147708175,0.3714357,2.490901905,2.490901905,0.220631742,0.189911,0.189911,0.189911,1.601623177,1.601623177,1.601623177,1.601623177,1.601623177,1.601623177,0.220631742,3.752133476,-0.651127645,0.518454901,2.016242888,-0.087503284,1.077016387,1.077016387,1.077016387,1.011475462,1.011475462,1.011475462,1.011475462,0.432461925,0.432461925,0.432461925,0.432461925,0.592921552,2.387034421,2.387034421,-0.099178699,0.496868317,0.981934199,0.394388617,0.394388617,0.290172659,0.290172659,0.290172659,0,0,0.03912083,2.435303382,1.209417023,0.445920367,0.49480271
치커리,1.613053739,1.767484933,1.767484933,1.767484933,0.33613324,-0.173584697,-0.173584697,-1.787954338,0.483656545,0.483656545,1.116271377,0.529707214,1.726605538,1.726605538,0.359848454,0.255871715,0.255871715,0.255871715,1.846861761,1.846861761,1.846861761,1.846861761,1.846861761,1.846861761,0.359848454,2.735534786,-0.593973116,0.60508548,2.352121748,-0.102759697,1.296709033,1.296709033,1.296709033,1.415442895,1.415442895,1.415442895,1.415442895,0.594340626,0.594340626,0.594340626,0.594340626,0.57946867,1.665093891,1.665093891,-0.182754051,0.677329907,1.230590235,0.584147953,0.584147953,0.330515459,0.330515459,0.330515459,0,0,-0.084541739,1.661123079,1.351314746,0.70131549,0.701045122
케일,1.188552407,2.282555264,2.282555264,2.282555264,0.298053816,-0.140780967,-0.140780967,-1.207525747,0.607669309,0.607669309,1.252833787,0.521578564,1.682044408,1.682044408,0.290061638,0.155239656,0.155239656,0.155239656,1.872835866,1.872835866,1.872835866,1.872835866,1.872835866,1.872835866,0.290061638,3.125253163,-0.42779413,0.587202135,2.144237536,0.258485244,1.400112047,1.400112047,1.400112047,1.231925885,1.231925885,1.231925885,1.231925885,0.368777549,0.368777549,0.368777549,0.368777549,0.598169003,1.751999876,1.751999876,-0.178861741,0.834280401,1.366216001,0.479488924,0.479488924,0.400596531,0.400596531,0.400596531,0,0,0.246882643,2.073510106,1.187204298,0.417641389,0.826288223
방울토마토,1.170209735,1.774975529,1.774975529,1.774975529,0.397279791,-0.127516076,-0.127516076,-1.540237615,0.230865435,0.230865435,1.419760418,0.633477644,2.020550475,2.020550475,0.302841386,0.403338537,0.403338537,0.403338537,2.027858592,2.027858592,2.027858592,2.027858592,2.027858592,2.027858592,0.302841386,3.19105186,-0.669991376,0.640602027,2.727664171,-0.077565201,1.138139383,1.138139383,1.138139383,1.052116718,1.052116718,1.052116718,1.052116718,0.59894582,0.59894582,0.59894582,0.59894582,0.56777723,1.738671295,1.738671295,-0.382085022,0.608255663,1.162693244,0.488147783,0.488147783,0.324120591,0.324120591,0.324120591,0,0,-0.224795346,1.602882642,1.379597545,0.579947486,0.513817259
파슬리,0.915882729,1.839828729,1.839828729,1.839828729,0.160698075,-0.49661411,-0.49661411,-1.437212587,0.500880351,0.500880351,1.084329364,0.558443799,1.790604631,1.790604631,0.401208563,0.221882238,0.221882238,0.221882238,2.163198102,2.163198102,2.163198102,2.163198102,2.163198102,2.163198102,0.401208563,2.999869535,-0.346801283,0.468004255,2.295135484,0.181642001,1.232232444,1.232232444,1.232232444,1.334678744,1.334678744,1.334678744,1.334678744,0.562108119,0.562108119,0.562108119,0.562108119,0.403273723,1.454413665,1.454413665,-0.358707533,0.701296391,1.413406471,0.73107891,0.73107891,0.201291032,0.201291032,0.201291032,0,0,0.358601466,1.134387969,0.912806345,0.526054264,0.941806879
파프리카,1.198922564,1.960051609,1.960051609,1.960051609,0.212716857,-0.3764867,-0.3764867,-1.621561674,0.031966946,0.031966946,1.435332276,0.455431789,2.073013282,2.073013282,0.291929484,0.293706643,0.293706643,0.293706643,2.129754452,2.129754452,2.129754452,2.129754452,2.129754452,2.129754452,0.291929484,3.313152629,-0.742845715,0.619499605,2.265524323,0.071425609,1.142337278,1.142337278,1.142337278,1.023934145,1.023934145,1.023934145,1.023934145,0.73062932,0.73062932,0.73062932,0.73062932,0.533815472,1.627995596,1.627995596,-0.23810487,0.452970581,1.111811205,0.607028997,0.607028997,0.26644996,0.26644996,0.26644996,0,0,-0.000656429,1.501595106,1.208286387,0.68290465,0.532183207
피망,1.2315618,1.748367373,1.748367373,1.748367373,0.367026768,-0.128975526,-0.128975526,-1.626034676,0.275271216,0.275271216,1.218866292,0.833250384,1.861249526,1.861249526,0.301916464,0.412062277,0.412062277,0.412062277,2.051144245,2.051144245,2.051144245,2.051144245,2.051144245,2.051144245,0.301916464,3.517590386,-0.518021874,0.613578689,2.511898867,0.06796,1.0394029,1.0394029,1.0394029,1.168536821,1.168536821,1.168536821,1.168536821,0.56624513,0.56624513,0.56624513,0.56624513,0.624369122,1.553615297,1.553615297,-0.410619689,0.564805197,1.180470184,0.484072655,0.484072655,0.313773328,0.313773328,0.313773328,0,0,-0.162973182,2.280726601,1.217781293,0.555757832,0.499694893
바질,1.352129431,1.706644148,1.706644148,1.706644148,0.230692048,-0.17275071,-0.17275071,-1.41622744,-0.456503917,-0.456503917,1.586455251,0.458128251,1.979145369,1.979145369,0.171069092,0.271385942,0.271385942,0.271385942,2.318735243,2.318735243,2.318735243,2.318735243,2.318735243,2.318735243,0.171069092,2.702062494,-0.823819491,0.953574897,2.059590539,-0.129523796,1.111505475,1.111505475,1.111505475,1.327452587,1.327452587,1.327452587,1.327452587,0.815619384,0.815619384,0.815619384,0.815619384,0.562409663,1.001610306,1.001610306,-0.184151817,0.59845974,1.308214412,0.36518079,0.36518079,0.292307275,0.292307275,0.292307275,0,0,0.029024734,1.431158892,1.260746064,0.452046029,0.538836785
